yuan183186,347766,40131,939,14,Pop,2015-08-21
quitter,195413,9822,346,30,Rock,2013-07-11
leilei9644,662200,16,4,0,R&B / Soul,2021-10-07
juzzyorange,121748,4325,29,0,Jazz,2010-08-30
acawanted,507292,19528,743,14,Folk,2017-07-28
aceband,79122,760,14,0,Jazz,2009-05-27
alan010155,132483,87,1,0,Pop,2011-01-11
hotsauce520,85113,24,3,0,Hip hop / Rap,2009-07-24
kninat,86096,105,1,0,Classical,2009-08-01
leekru,643058,302,11,4,Hip hop / Rap,2021-04-17
sanyeh,7737,78,2,0,Pop,2006-10-31
Chemical_Party,299167,10645,173,3,Electronic,2014-10-28
Rosehead,665756,160,7,5,Singer / Songwriter,2021-11-22
bobbykaycoolson,367813,2587,70,0,Pop,2016-04-14
YoungLee337,600573,806,31,2,Hip hop / Rap,2019-12-13
mason13,31513,1721,14,1,Hip hop / Rap,2007-12-08
hereisnoe,657145,371,32,8,Hip hop / Rap,2021-08-14
PO8__,658715,283,13,1,Hip hop / Rap,2021-08-27
SiriSimranKaur,627767,2011,80,13,Pop,2020-11-10
semitune,73780,265,9,0,Classical,2009-04-06
Nocturnes_bj,520606,965,47,1,Electronic,2017-08-29
imdifficult,581513,6822,254,6,Alternative,2019-05-06
liliumtaiwan,593361,2195,72,3,Alternative,2019-08-30
prairiewwww,669113,1858,103,16,Folk,2022-01-04
Florahua,565599,2411,68,5,Hip hop / Rap,2018-09-16
haichunlei3,121333,633,9,1,Hip hop / Rap,2010-08-24
goat137946,119757,22,1,0,Pop,2010-08-05
mason13,122013,1898,49,6,Hip hop / Rap,2010-09-01
MrRocketHead,662219,373,16,3,Pop,2021-10-07
zihao0308,486692,3782,87,0,Hip hop / Rap,2017-05-27
whogawhoga,589441,276,11,1,Rock,2019-07-29
lukechan168,662773,62946,2007,534,Alternative,2021-10-14
BenjaminSlashie,360649,85,2,0,Electronic,2015-12-03
pj8,111537,1624,11,0,World,2010-05-04
PINGSAN,596470,340,30,8,Rock,2019-10-17
minokabasawa200,90413,163,2,0,Folk,2009-09-03
derrick52020_,674936,23,3,2,Pop,2022-03-01
streetpoets,115334,3556,38,2,Hip hop / Rap,2010-06-14
shon1996,543998,1821,44,10,Folk,2017-12-11
cmgt30th,643728,63028,1395,417,Singer / Songwriter,2021-04-24
88Balaz,348654,2123,34,0,Folk,2015-08-28
pnfc,140729,16333,167,0,Alternative,2011-05-01
tbflow,100244,1373,23,2,Hip hop / Rap,2009-12-30
tomaawards,628281,163,15,2,Singer / Songwriter,2020-11-18
besoulreg,575356,9027,296,5,Singer / Songwriter,2019-02-27
mason13,28748,2029,8,1,Hip hop / Rap,2007-10-29
eve90711,124641,19196,177,0,Pop,2010-10-05
jcfc,129431,162,2,0,Classical,2010-11-29
sunny_ada_tu,679055,54,6,5,Hip hop / Rap,2022-03-30
telephonebooth,111721,243,3,0,Alternative,2010-05-05
SADOG,376367,924,54,13,Punk,2016-10-06
blueburn,631581,182939,5630,1414,Alternative,2020-12-30
anyonesthere,641019,1169,90,32,Folk,2021-03-31
svradio,546187,805,25,1,Alternative,2018-01-04
SavuluLawayMusic,321640,30983,791,77,Pop,2015-03-03
PanJie,639278,346,25,19,Pop,2021-03-23
Epitomeband,627581,2188,88,22,Alternative,2020-11-08
SorryYouth,542710,62290,1648,74,Alternative,2017-11-27
dingximusiccenter,579382,176,10,1,Folk,2019-04-08
cw1031,587622,132,13,1,R&B / Soul,2019-07-16
blackgreen2013,295003,73,2,0,Alternative,2014-09-21
giganticroar,199550,9477,241,12,Rock,2013-10-05
andyf565,167245,191,2,0,Hip hop / Rap,2012-05-01
manchuker,3012,12427,46,9,Pop,2006-06-16
acawanted,626976,8543,413,68,Pop,2020-10-30
SausageChasel,601465,1116,48,2,Post rock,2019-12-24
mintgreenmill,585954,3705,160,2,Rock,2019-06-30
twoday,27006,2334,8,0,Hip hop / Rap,2007-10-01
recall2020,646193,29787,1153,343,Pop,2021-05-20
Frozon,640813,211,13,10,Singer / Songwriter,2021-03-30
n019365289,142605,85,1,0,Classical,2011-05-28
MangoPan0914,646339,416,12,25,Hip hop / Rap,2021-05-20
Joshua104,649623,6600,268,159,Singer / Songwriter,2021-06-07
JeremyChiang,119504,55,1,0,Classical,2010-08-03
blez,566276,17,2,0,Electronic,2018-10-02
fleshjuicer,336777,22624,609,74,Metal,2015-06-11
rule1230,654188,3082,160,30,Singer / Songwriter,2021-07-17
