dinlow,170354,2387,19,0,Hip hop / Rap,2012-06-12
dinlow,131712,1241,8,0,Hip hop / Rap,2010-12-31
dinlow,126029,1185,5,0,Hip hop / Rap,2010-10-20
dinlow,111475,1671,4,0,Hip hop / Rap,2010-05-03
dinlow,111188,3442,39,0,Hip hop / Rap,2010-04-30
dinlow,106636,1328,4,2,Hip hop / Rap,2010-03-06
dinlow,97708,5453,30,0,Hip hop / Rap,2009-11-25
dinlow,95638,3839,34,1,Hip hop / Rap,2009-11-01
dinlow,87711,3570,25,0,Hip hop / Rap,2009-08-12
dinlow,86132,2952,15,0,Hip hop / Rap,2009-08-01
dinlow,72715,3117,8,0,Hip hop / Rap,2009-03-25
dinlow,71173,2789,6,0,Hip hop / Rap,2009-03-11
dinlow,69812,2918,12,0,Hip hop / Rap,2009-02-24
dinlow,63136,3536,10,0,Hip hop / Rap,2008-12-10
dinlow,61584,21001,108,5,Pop,2008-11-23
dinlow,61371,3718,13,2,Hip hop / Rap,2008-11-20
dinlow,58805,4021,15,0,Hip hop / Rap,2008-10-26
dinlow,42097,4636,19,0,Hip hop / Rap,2008-05-06
dinlow,39021,11576,70,3,Hip hop / Rap,2008-03-26
dinlow,28068,6397,23,0,Hip hop / Rap,2007-10-18
dinlow,27747,6839,36,1,Hip hop / Rap,2007-10-13
dinlow,26505,7813,35,0,Hip hop / Rap,2007-09-23
dinlow,26433,3849,17,1,Hip hop / Rap,2007-09-22
dinlow,25909,3478,19,1,Hip hop / Rap,2007-09-12
dinlow,22135,10121,47,1,Hip hop / Rap,2007-07-07
dizkar,561532,8509,370,5,Electronic,2018-07-24
dizkar,561531,18199,853,12,Electronic,2018-07-24
djmykal,611859,19277,579,27,Electronic,2020-04-24
djmykal,592928,2027,31,0,Electronic,2019-08-26
djmykal,574751,1079,23,0,Electronic,2019-02-19
djmykal,362011,2786,44,0,Electronic,2015-12-31
doojay98,622381,400,27,7,Alternative,2020-09-03
doojay98,622379,979,67,16,R&B / Soul,2020-09-03
doojay98,622378,216,13,3,Pop,2020-09-03
doojay98,622376,361,30,4,Jazz,2020-09-03
doojay98,602077,2545,129,3,Pop,2019-12-30
doojay98,598792,5369,266,1,Electronic,2019-11-18
doojay98,547172,15042,541,20,Hip hop / Rap,2018-01-26
doojay98,544904,7715,281,7,R&B / Soul,2017-12-23
doojay98,540501,28568,953,72,R&B / Soul,2017-11-14
doojay98,533191,26479,917,10,Hip hop / Rap,2017-10-15
doublejam,661951,7534,206,177,Hip hop / Rap,2021-10-02
doublejam,645734,11107,397,204,Punk,2021-05-15
dqdq212,657965,1257,47,10,Singer / Songwriter,2021-09-01
dqdq212,657964,727,25,2,Singer / Songwriter,2021-09-01
dqdq212,657963,1044,53,5,Singer / Songwriter,2021-09-01
dqdq212,657962,890,42,5,Singer / Songwriter,2021-09-01
dqdq212,657961,523,18,2,Singer / Songwriter,2021-09-01
dqdq212,657960,517,23,2,Singer / Songwriter,2021-09-01
dqdq212,657959,565,23,3,Singer / Songwriter,2021-09-01
dqdq212,657957,1455,52,13,Singer / Songwriter,2021-09-01
dqdq212,657955,6530,226,52,Singer / Songwriter,2021-08-25
dqdq212,655022,13266,623,138,Singer / Songwriter,2021-07-28
dqdq212,601261,2521,105,9,Pop,2019-12-21
dqdq212,601262,10106,290,8,Electronic,2019-12-21
dqdq212,601248,1670,72,6,Folk,2019-12-21
dqdq212,601250,9667,389,33,Electronic,2019-12-21
dqdq212,601257,1747,67,10,Folk,2019-12-21
dqdq212,601259,1777,74,5,Folk,2019-12-21
dqdq212,601260,4097,135,2,Folk,2019-12-21
dqdq212,600164,4948,244,11,Pop,2019-12-06
dqdq212,572741,47580,1915,36,Singer / Songwriter,2019-01-18
dqdq212,554723,9706,473,12,Singer / Songwriter,2018-04-22
dqdq212,551461,2475,118,5,Singer / Songwriter,2018-03-22
dqdq212,548289,2192,106,1,Singer / Songwriter,2018-02-10
dqdq212,547690,1361,56,0,Pop,2018-01-31
dqdq212,546102,6439,253,6,Singer / Songwriter,2018-01-02
dropp,676247,0,0,0,Hip hop / Rap,2022-03-11
dropp,671587,12,2,0,Hip hop / Rap,2022-02-04
dropp,661325,31,4,0,Alternative,2021-09-25
dropp,654647,32,3,0,Hip hop / Rap,2021-07-22
dropp,654428,36,5,0,Hip hop / Rap,2021-07-20
dropp,652316,16,1,1,Hip hop / Rap,2021-06-30
dropp,649491,24,3,1,Hip hop / Rap,2021-06-07
dropp,642599,49,5,2,Hip hop / Rap,2021-04-11
dropp,640667,15,1,0,Hip hop / Rap,2021-03-30
dropp,635435,22,2,0,Hip hop / Rap,2021-02-11
dropp,631420,33,1,1,Hip hop / Rap,2020-12-29
dropp,627788,25,0,0,Hip hop / Rap,2020-11-11
dropp,625857,24,5,0,Hip hop / Rap,2020-10-16
dropp,623955,14,4,0,Hip hop / Rap,2020-09-23
dropp,619401,95,7,0,Hip hop / Rap,2020-07-29
dropp,618166,65,5,0,Hip hop / Rap,2020-07-10
dropp,616639,33,3,1,Hip hop / Rap,2020-06-21
dropp,611912,1008,36,2,Hip hop / Rap,2020-04-25
dropp,610958,26,3,1,Hip hop / Rap,2020-04-14
dropp,609868,94,4,0,Hip hop / Rap,2020-03-31
dropp,608276,58,5,1,Hip hop / Rap,2020-03-21
dropp,601761,233,10,1,Hip hop / Rap,2019-12-27
dropp,600644,117,11,1,Pop,2019-12-14
dropp,600055,60,5,1,Hip hop / Rap,2019-12-05
dropp,595529,0,0,3,Hip hop / Rap,2019-10-03
dropp,590487,496,25,2,Hip hop / Rap,2019-08-06
dropp,584884,201,18,1,Hip hop / Rap,2019-06-17
dropp,574284,73,6,0,Hip hop / Rap,2019-02-12
dropp,574283,97,6,0,Hip hop / Rap,2019-02-12
dropp,574282,39,8,0,Hip hop / Rap,2019-02-12
dropp,565618,1717,87,9,Hip hop / Rap,2018-09-17
dropp,562882,617,55,3,Hip hop / Rap,2018-08-06
dropp,560296,74,7,0,Hip hop / Rap,2018-07-12
dropp,560295,2696,124,4,Hip hop / Rap,2018-07-12
dropp,560294,102,7,2,Hip hop / Rap,2018-07-12
dropp,560293,3580,203,15,Hip hop / Rap,2018-07-12
dropp,560292,346,20,1,R&B / Soul,2018-07-12
dropp,560291,121,8,0,Hip hop / Rap,2018-07-12
dropp,560290,2483,120,7,Hip hop / Rap,2018-07-12
dsa265302,564423,2369,77,0,Hip hop / Rap,2018-08-26
dsa265302,555715,245,9,0,Hip hop / Rap,2018-05-08
dudedonteventry,634261,4111,195,40,Hip hop / Rap,2021-01-29
dungisapor,676725,14,3,0,Dance,2022-03-16
dungisapor,672242,56,6,0,Dance,2022-02-12
dungisapor,666824,316,15,0,Dance,2021-12-09
dungisapor,663887,482,14,1,Dance,2021-10-27
dungisapor,660637,143,11,2,World,2021-09-22
dungisapor,661150,259,15,1,World,2021-09-22
dungisapor,661149,194,14,1,Electronic,2021-09-22
dungisapor,660093,215,19,3,Electronic,2021-09-12
dusanaga,673142,95,9,3,Electronic,2022-02-17
dusanaga,668162,47,10,1,Electronic,2021-12-25
dusanaga,654412,843,31,3,Electronic,2021-07-20
dusanaga,638177,128,14,0,Alternative,2021-03-15
dusanaga,638175,420,19,1,Electronic,2021-03-14
dusanaga,638174,67,7,1,Electronic,2021-03-14
dusanaga,638168,624,38,5,Hip hop / Rap,2021-03-14
dusanaga,635261,180,12,0,Electronic,2021-02-08
dusanaga,630785,100,7,0,Electronic,2020-12-26
dusanaga,627483,280,22,2,Alternative,2020-11-06
dusanaga,623589,359,25,4,Electronic,2020-09-18
dusanaga,608900,548,21,0,Alternative,2020-03-24
dusanaga,604348,105,10,0,Electronic,2020-02-04
dusanaga,602170,1597,97,0,Electronic,2019-12-31
dusanaga,599576,173,10,0,Electronic,2019-11-29
dusanaga,596661,571,16,0,Electronic,2019-10-20
dusanaga,591620,156,7,0,Alternative,2019-08-13
dusanaga,584899,264,16,0,Electronic,2019-06-18
dusanaga,583387,1161,43,0,Electronic,2019-05-31
dusanaga,583386,367,9,2,Electronic,2019-05-31
dusanaga,583385,1860,48,0,Electronic,2019-05-31
dusanaga,581634,8103,301,11,Hip hop / Rap,2019-05-08
dusanaga,574492,2615,59,0,Singer / Songwriter,2019-02-15
dusanaga,571187,3845,115,5,Electronic,2018-12-25
dusanaga,560281,0,0,0,Rock,2018-07-12
