otinao588,141528,167,1,0,Classical,2011-05-12
lowbrightness,180444,1986,20,0,Alternative,2012-10-31
dafellaz1986,153261,2311,44,1,Hip hop / Rap,2011-10-16
missbananaTW,180588,2073,20,0,Alternative,2012-11-01
juzzyorange,137452,5683,54,0,Hip hop / Rap,2011-03-16
FoolAndIdiotBand,382829,174999,8610,167,Folk,2016-11-27
kelly_meng,657521,221,14,2,Hip hop / Rap,2021-08-16
shrill_moon_ps,657325,28,7,4,Hip hop / Rap,2021-08-14
TLW,142196,1307,9,0,Hip hop / Rap,2011-05-22
flykite2015,334641,8062,93,0,Pop,2015-06-02
lusergang,563828,655,27,0,Hip hop / Rap,2018-08-17
subyub,376252,3333,120,2,Folk,2016-10-03
huanhuantw,626582,2161,105,12,Alternative,2020-10-26
ControlT,482362,135770,3560,179,Singer / Songwriter,2017-05-15
ENMIN,539066,466,35,0,Hip hop / Rap,2017-11-07
LBCGFUNK,3149,12214,64,0,Pop,2006-06-19
lusergang,615947,576,22,6,Hip hop / Rap,2020-06-13
FJ_Jimmy,367888,4995,160,2,Hip hop / Rap,2016-04-14
ilovefunk_0407,590271,19924,599,12,Singer / Songwriter,2019-08-05
Marstn,364204,1825,64,0,Alternative,2016-02-26
cozydiary,170874,43459,406,3,Folk,2012-06-19
mason13,22815,1282,6,1,Hip hop / Rap,2007-07-25
newswimmer251,599657,369,16,3,Hip hop / Rap,2019-11-30
unijjfu,107589,101,2,0,Classical,2010-03-16
ATWGirl,167268,4240,37,0,Electronic,2012-05-01
iguitargirl_tw,141448,4347,42,0,Folk,2011-05-11
VulgarSavior,665910,49556,2137,352,Pop,2021-11-25
noisy_bar_1f,639666,287,10,6,R&B / Soul,2021-03-28
min19950904,568832,6963,47,0,Singer / Songwriter,2018-11-22
Cicadatw,119108,14878,180,4,Rock,2010-07-30
SiriSimranKaur,627068,441,16,2,Folk,2020-10-31
agwurn,661953,817,51,11,Singer / Songwriter,2021-10-02
ControlT,374980,302080,7953,599,Folk,2016-09-14
yabashinfu,606320,1561,75,9,Rock,2020-02-29
flowstrong,653044,336,28,4,Hip hop / Rap,2021-07-06
sitabandhk,504032,5275,184,3,Rock,2017-07-16
undereyes,645685,305,15,1,Alternative,2021-05-15
nainaiband,580387,2139,75,16,Alternative,2019-04-24
