keynocee,5,562,0,認證音樂人,臺北市,1
angry_youth,23,5381,0,音樂人,臺北市,1
funones,10,125,0,音樂人,臺北市,1
k87000214,8,381,56,認證音樂人,南投縣,1
Mac_Ju,4,17,5,音樂人,臺北市,1
Swannnn,2,57,9,音樂人,臺北市,1
tripoets,34,2253,323,認證音樂人,臺北市,1
liulewie,13,2209,52,音樂人,北京,1
Leepa,11,108,18,認證音樂人,臺中市,1
solomomliu,17,601,2,音樂人,桃園市,1
rhyan6_from_daan,1,35,3,音樂人,臺北市,1
Thehopend,31,7657,2,認證音樂人,屏東縣,1
icy_fire_z1,6,164,47,認證音樂人,屏東縣,1
Lowkingofficial,29,198,97,認證音樂人,花蓮縣,1
Neahlun,1,68,5,音樂人,臺北市,1
lil_giant,4,168,104,音樂人,臺北市,1
k4990878,2,209,12,音樂人,新北市,1
placebo_ct,12,869,11,認證音樂人,新北市,1
jnco,17,1766,30,音樂人,美國,1
kireyung,28,1721,0,認證音樂人,新北市,1
jien00008,26,2480,25,音樂人,新北市,1
wavegoat98,10,109,0,音樂人,臺北市,1
shadowmoon0128,4,162,4,認證音樂人,新北市,1
yiting_chang_,2,2487,4,認證音樂人,臺北市,1
Y_c,4,392,0,認證音樂人,高雄市,1
wohkooler,1,196,48,認證音樂人,臺北市,1
analogbiiitch,1,168,4,音樂人,臺北市,1
zcrighthere,29,1199,15,音樂人,上海,1
steve86111027,4,52,1,音樂人,臺南市,1
CalvinBrand,4,71,24,音樂人,新北市,1
KawaSounds,7,47,0,音樂人,臺北市,1
PhilipYoung,18,1502,1,音樂人,北京,1
fancy_sun_jo,3,489,4,音樂人,臺中市,1
poe4ever,14,3768,47,音樂人,None,1
showmain,12,451,7,認證音樂人,新北市,1
tang0316,2,681,0,認證音樂人,新北市,1
cosmosjade,11,6402,7,音樂人,臺北市,1
leothreeseven,15,1358,0,音樂人,None,1
5400_54oo,2,729,0,認證音樂人,臺北市,1
Jinboismyname,25,1068,4,認證音樂人,臺北市,1
zealots_45,1,307,0,音樂人,臺北市,1
The_Time,11,104,4,認證音樂人,台灣,1
charlie86847095,6,320,2,認證音樂人,新北市,1
QueenQuinn,34,588,0,音樂人,臺北市,1
Haoceler,1,65,27,音樂人,臺北市,1
evil022389,8,34,1,音樂人,新竹縣,1
Someshit,3,7520,28,認證音樂人,臺北市,1
dennischang,14,2656,14,認證音樂人,臺北市,1
shoumethemoneyxx,8,5820,0,認證音樂人,花蓮縣,1
moriiimusic,10,2275,57,認證音樂人,新北市,1
FRENZY_OMEGA,1,238,19,音樂人,新北市,1
_pe630arl,2,5215,22,音樂人,臺北市,1
cityronin,10,8444,19,認證音樂人,其他,1
85youngdope,19,123,85,認證音樂人,雲林縣,1
ClickNo15,7,300,0,音樂人,北京,1
KaoLin,11,503,13,音樂人,彰化縣,1
caotunboy,16,729,0,音樂人,南投縣,1
ntuthiphop,1,44,0,音樂人,臺北市,1
Lipzeo,69,33,1,音樂人,高雄市,1
see_u_hong,10,3077,0,認證音樂人,臺北市,1
ShiShr,19,1557,14,認證音樂人,臺北市,1
henry_bii1999,4,60,4,音樂人,新竹市,1
m870925,10,104,30,音樂人,臺中市,1
falavanapperxxx,1,18,0,音樂人,臺中市,1
Johnchen4real,5,173,9,音樂人,苗栗縣,1
birstyle236016,6,272,11,認證音樂人,宜蘭縣,1
huangdachien,5,8545,0,音樂人,新北市,1
