Cuteboy,117150,1719,17,0,Electronic,2010-07-09
yangjeff0405,598111,147,13,0,Hip hop / Rap,2019-11-10
heiwuyuedui,580880,6299,256,32,Rock,2019-04-30
soft_violet_fqb,580921,20163,615,6,Rock,2019-04-30
fee8ack,372403,16674,617,11,Punk,2016-07-22
leoleoleo8958,602951,599,17,2,Pop,2020-01-11
makerokita,113695,160,3,1,Hip hop / Rap,2010-05-25
nanguaq,640493,21854,795,143,Singer / Songwriter,2021-03-30
angelo_leeric,627796,219,6,11,Hip hop / Rap,2020-11-11
formoza,623070,4886,267,49,Alternative,2020-09-11
singoursong2014,225089,32203,561,0,Pop,2014-06-06
rolex,90359,100,1,0,Pop,2009-09-02
ETEGG,121968,128,1,0,Alternative,2010-09-01
fishlin513,613634,581,19,5,Folk,2020-05-18
devilhenry,551389,13,1,0,Rock,2018-03-21
VastHazy,151479,38818,661,19,Folk,2011-09-21
davis860602,550220,2637,96,1,Alternative,2018-03-05
brianpotter,671414,25606,291,95,Pop,2022-02-04
liliumtaiwan,320839,2901,63,1,Pop,2015-02-26
SoulFaofficial,635922,28782,997,83,Rock,2021-02-22
barkher,576828,1587,63,5,Soundtrack / New age,2019-03-13
Maffine,281218,6827,139,0,Alternative,2014-07-29
WhatINeed,572500,1026,50,6,Folk,2019-01-14
saintg,635473,141,6,3,Hip hop / Rap,2021-02-11
64kid,45932,46,3,0,Hip hop / Rap,2008-06-16
ryandog520,131917,237,12,2,Soundtrack / New age,2011-01-04
wellsaid,404811,1078,26,0,Punk,2017-03-13
kjilmari,33403,348,4,0,Hip hop / Rap,2008-01-07
Cleverdummy,611547,12507,384,77,Rock,2020-04-20
yerkomusic,352848,5714,73,0,World,2015-10-08
Silent_Gentlemen,679584,26957,356,51,Pop,2022-03-31
_ayyyllen_,614240,76,4,2,Hip hop / Rap,2020-05-24
hiimafreak,681435,4496,217,110,Rock,2022-04-17
alice900791,571518,1484,37,6,Singer / Songwriter,2018-12-29
botau,614900,3494,82,9,Pop,2020-06-01
formosa,111361,1492,10,0,Hip hop / Rap,2010-05-02
rorock52,138578,15,1,0,Pop,2011-03-29
highcc,395436,1379,12,0,Pop,2017-02-03
Dovecote,574183,1042,15,0,Singer / Songwriter,2019-02-11
NCKillaz2017,595071,96,4,0,Hip hop / Rap,2019-09-27
wdragon1017,617365,1666,38,38,Hip hop / Rap,2020-06-30
prairiewwww,564938,1592,44,2,Alternative,2018-09-03
