Uid,Songs
blueburn,664047
zoomie_live,655601
Despair_Life,604187
haya,31780
angelo2roll,23968
ChiYangAlnus,565746
haaretzsix,546440
Young_Yu,626026
rickyaxc,560145
VastHazy,629401
doublex_1005,628574
yanverylovehill,147694
ConstantanChange,628471
codie,626909
nastyjrfog,31897
nicocheung0906,547835
louie0630,630034
paul1985,113422
SanYs,194489
2012southmusic,529171
seansu0801,132903
imdifficult,637784
ddoe7895,114957
kjtien,569340
fan0415,641264
PoshaoHuang,590142
morimagic,15246
ennogogo,269404
TNSO,539546
chrisxxx,118272
gn00620357,631849
k880401,496057
ZZ23217742,604275
Lick,607303
MacaquBand,408415
singwu727,87689
djvesta,91168
tidingshuang,596736
thesignofhuman,567259
thefurofficial,566271
2213609sin,25566
shen8668,121514
thefurofficial,566268
unicornnnnn,677172
damu580321,140006
anyonesthere,626216
nickyeo,130319
cindyH,43919
youthnote,180347
car5on,371120
maryseethefuture,199098
jcfc,150728
REDGORDON,60017
Maochun,626461
young_david,280696
goldenindie3,178894
ControlT,653034
odd_sunset_c1,402766
orangechang,633304
roye1106,664612
teenageriot,490822
rhapsody317,125567
GGBrotherz,398206
dungyangyijianmei,569850
PinkNoise11,567063
juzzyorange,344001
kolaswu,579751
violetlens,368416
flykite2017,488997
OLDBOX,88907
treeoflifeband,600364
frank_chen88688,570199
havesense123,208489
ningyang,106202
yoricky,603596
OurEyes,131111
blez,553333
Cicadatw,552872
newswimmer251,601337
Yiijiajia,476317
ggteens_,679741
lukechan168,546623
heiwuyuedui,580493
aaasi,203851
t29612003,351243
peaceandwave,528121
rhapsody317,136855
fromhush,123708
culaliya,104007
kay159321,146525
za_sh,170428
FoolAndIdiotBand,499257
elevenzmusic,373376
mchanofficial,542910
mustbeniceband,589805
yawaimawlin,554282
youth_of_the_sea_island,633756
afuuuuuuuu,607580
utopia0224,218894
ChiYangAlnus,601681
exit,331755
B1band,573069
aplace2009,90393
tan8810205,20723
d3bbi3,657367
highcc,625867
TwoPlusOne,189342
xvp74411,138870
angelo_leeric,620882
awhiterday,570850
leonzheng,590468
ricky3314ricky3314,628259
losunplus63,611823
parkproduction,498482
maimai1914,642648
achih_singing,667086
bluebluecurtain,557469
saintg,673202
Speaka,208713
woodywoody2g,60507
xyhan96,498502
JeaMimw,301268
aaasi,632121
arale310,109842
mofoparty,222249
bombattrack,406356
lukechan168,530746
a3298456327,655196
bingbo,643256
2017flykite,489397
sparkling_rice_1cu,618383
formoza,570841
breaktheradar,560894
wssband,132919
0o_coolbaby_o0,672152
magotsao,629574
rainofsorrow,581466
pan2,582619
kaze_0728,629048
minokabasawa200,90418
Lilice,149091
achauchau,536811
flynchong,629337
duderollstudio,593675
countyroad184,632521
WangWen_,319203
Humanity_mirror,636536
fangdongdemao,506976
yaji,36217
VastHazy,213000
jamesyang19931222,548438
wutu,667609
darkwhitecollar,187165
WhatINeed,566658
utaband,361204
rookie155,174741
Archetype1223,559217
kiwif2f2f213,565602
liliumtaiwan,593903
thesignofhuman,583417
superten710910,66953
CampusDoggyClub,597619
mod1976,93766
one3one4,665612
rabadee,547920
punktv,131744
louie0630,654074
glidingplan,365843
E1and,679092
EggPlantEgg,396091
Felina0722,648616
tonychenmusic,137694
SoulFaofficial,575262
icekrozz,76947
elphilding,124143
SADOG,488667
olmo_yuguo,681312
