musicianID,followerCNT,followingCNT
/groovy__wave/,59,0
/a2745858/,204,1
/seaking02030203/,1087,24
/tigtheirongiant/,2385,15
/sshg/,365,3
/Chenmax0/,362,12
/NICETIM/,110,4
/konwang3/,8578,49
/88risingRecordsLLC/,8480,0
/liulewie/,2196,52
/dusanaga/,562,0
/bboygemini/,216,34
/s880606/,11143,43
/kokkamango/,80,36
/dizkar/,361,0
/square_moon_6nf/,122,1
/ChuNoodleChuNoodle/,722,46
/wring_out_laura/,181,28
/tainaner/,88,0
/EdisonSong/,2399,2
/smy714/,1757,2
/TK_supremacy/,138,5
/seehan_chen/,84,10
/masterbating6969/,135,1
/GoGoMachineOrchy/,576,13
/yf____c/,2407,23
/heartboomboomclub/,70,6
/hankwuuu/,233,1
/kuroshio2019/,1033,0
/wetdreamdontcomeorgo/,50,30
/qlaryee/,295,8
/vincent515/,47,49
/gatsbyjayyy/,83,0
/AA320/,593,0
/elug0415/,32,0
/yuhansu/,40,0
/xddd0524/,205,6
/FRENZY_OMEGA/,238,19
/cosmosjade/,6045,7
/anthony0926handsome/,4237,3
/chaomiumiu/,275,1
/Mr_KIRA/,47,30
/lekimberleyy/,832,4
/nanakao0619/,1206,15
/zornlu/,162,15
/Kminddddd/,161,4
/mssdrbeauty/,1221,0
/steve86111027/,52,1
/StevenYW/,726,12
/blaire_ko/,367,6
/UrAyN/,53,1
/tang0316/,678,1
/addabandtw/,130,0
/chairchairmusic/,9779,4
/tarzan0207/,63,4
/mixtlabmusic777/,24,0
/dungisapor/,40,8
/brucexingyuliu/,81,5
/TheGirlTheRobots/,2419,18
/runningyouth/,252,0
/see_u_hong/,2970,0
/hustlecrew330/,155,5
/supertomicsound/,32,8
/eyesggfresh/,191,18
/Ja2onRiv3rs/,25,3
/LeeLek/,167,0
/lil_giant/,162,102
/Fomchor97/,45,1
/ninalu_1116/,84,25
/Animalpartners/,24,0
/itsbobo/,23,3
/ulttmu/,208,10
/Soulgroover/,730,33
/wweibird/,9594,15
/doublejam/,212,3
/zcrighthere/,1189,15
/A_SHENG_/,11,5
/Julia_Wu/,18942,0
/chenz/,122,73
/wecynicalboyz/,1291,0
/superten0910/,12498,63
/CalvinBrand/,70,24
/nooovaaa/,37,0
/d1205x/,53,3
/vegatablecookies/,340,57
/cityronin/,8127,18
/sasa0720h/,1621,12
/510864772/,88,5
/anthonywen/,123,69
/Bayes/,27,18
/RATA/,40,13
/insecteens/,693,9
/gjia4real/,687,0
/ByronHsu/,15,10
/icy_fire_z1/,164,47
/Wei_2theSheng/,24,4
/Channel7band/,571,12
/TaiwanSouthsidePintung/,70,3
/sweetsleep/,427,1
/dayu0609/,37,20
