musicianID,followerCNT,followingCNT
/DanielBlack870323/,6,1
/Danmarktsai/,6,2
/Dao/,18,3
/DasFoss/,120,0
/Daylily/,46,5
/DeathBoxGame/,29,40
/Deeplay/,59,28
/Deepwhite2/,520,7
/DerrickChi/,16,18
/Despair_Life/,24,1
/Destroy_The_Body/,53,0
/Dictadar_P/,41,0
/DiipSilence/,3,1
/DirtyCrow/,31,18
/DirtyR/,44,15
/Dizazta/,10,12
/DkB_Rain/,3,12
/Dminor7/,5,0
/DoQi/,5,1
/DoZzz/,225,4
/DoliDoly/,75,5
/Dotzip/,294,6
/Double_H/,4,4
/Dovecote/,117,1
/DrDreamWandering/,15,845
/Dr_song/,13,7
/DreamdiveIsland/,590,4
/Drelion/,6,15
/Drochen/,124,9
/Drummerjump/,168,0
/DyiNg/,18,64
/E1and/,279,15
/E2die/,113,52
/EATH25444932/,14,12
/ENMIN/,13,6
/ETEGG/,19,30
/EWERN/,9,0
/EarlBand/,421,25
/Eddie0303/,1,32
/EddieChiou/,17,14
/Eddiemong/,203,41
/EdisonLee/,4,4
/Eefje027/,3,6
/Egg2578/,313,1
/EggPlantEgg/,10864,1
/ElectricMessAge/,76,5
/ElephantGym/,7219,0
/Elijah_Tien/,5,1
/Enchieh/,4,1
/Endlesswhite/,332,2
/Ensie2003/,8,2
/Epitomeband/,353,2
/Eriene/,40,7
/EuropaHuang/,950,2
/FASO/,7,15
/FAZI/,234,0
/FFAA/,65,52
/FKT_BAND/,139,12
/FOXFOX/,100,77
/FUHEYU/,68,42
/Farmer_Huang/,38,2
/FayeHong/,666,103
/Febmor/,51,11
/Fedup/,83,69
/FeelingBerry/,1270,0
/Felina0722/,85,52
/Fieldy/,19,35
/Fierymace/,179,13
/Finn13/,962,138
/FionChuang/,3,4
/FiveNin9z/,4,34
/Florahua/,169,44
/FlymanAHI/,33,21
/Flyuk/,91,34
/Fogbow2013/,2511,5
/FooLinGeR/,390,21
/FoolAndIdiotBand/,72049,15
/FormosaBlackBear/,32,13
/Foxxx/,10,2
/FranL/,1,1
/FreakySqueaker/,55,44
/Frosttears/,33,2
/FrozenStreet/,172,2
/Frozon/,68,15
/Fujinnize/,4,1
/Funkable/,28,58
/FunkyMo/,51,0
/Funsong_band/,34,90
/GALI/,120,0
/GDJYB/,1136,1
/GFUNKJUNE/,67,273
/GROOVEWAR/,59,152
/Gallow0898/,14,17
/Gangsta/,25,20
/Geigei/,2,8
/Genesis/,54,56
/GetPay/,96,3
/Gigi1229/,3,1
/Goosander/,465,0
/Goosebandsg/,273,13
/Gordon0602/,9,15
/Grayband/,24,19
/GreenField/,21,15
/Greghk/,23,33
/GreyEYES/,8,3
/Grinffin/,6,0
/GuanZro/,23,5
/GuyL/,19,16
/HANDKNIFE/,31,17
/HCWchunhooh/,47,7
/HDWLGRAFFITI/,67,104
/HEBOINNE/,9,115
/HERO/,49,15
/HIPHOPTKD/,6,9
/HITFMSV/,121,224
/HOLY_HSIEH/,6,5
/HONJofficial/,28,5
/HOPENG/,13,10
/HOWCHU/,7,11
/HQM009/,56,163
/HSEVENJ/,9,11
/HS_Angus/,5,16
/HaRdEnBaKK/,36,36
/Hamu/,5,2
/HanJ1996/,15,6
/HanLintheneet/,25,21
/HannahLo/,2,51
/HaotingHuang/,458,0
/HappyFormalin/,85,3
/HappyHour/,28,0
/HavenLee0524/,200,25
/Havens/,134,50
/Hazi_mingli/,52,32
/Hazzz71/,20,1
/Heartbeat100STOP/,13,16
/HelloNico/,28604,0
/HeyAriel/,5,64
/HiJacktheband/,303,0
/HiJayyyy/,187,21
/Highiwaves/,51,101
/Hitoshi00020227/,24,1
/Hkpost90s/,50,21
/HoRayc/,3002,25
/HomeRF69/,10,25
/HonFIRE/,61,12
/Honey13111/,8,529
/Hostta/,1,202
/Hot_Baylor/,17,9
/HowieLee/,225,0
/HsuehFuHsin92/,6,24
/Huaien_xx/,4,1
/Hualien970/,407,77
