peacewong,632339,69,8,4,Hip hop / Rap,2021-01-07
minging27,120285,25,2,0,World,2010-08-13
punktv,163629,24035,995,95,Rock,2012-03-11
huangweijieweijie,567847,523,10,1,Singer / Songwriter,2018-11-01
formosa,62279,5078,33,0,Hip hop / Rap,2008-11-30
Toolate_jja,576245,594,28,7,Singer / Songwriter,2019-03-06
thefurofficial,629880,21393,1084,138,Pop,2020-12-10
han_lin_li,607366,3680,178,9,R&B / Soul,2020-03-08
asiamuse,65268,3588,35,0,Pop,2009-01-05
Eustache,546534,4371,160,9,Rock,2018-01-13
TYSG420,589638,984,38,7,World,2019-07-31
FunkyMo,559075,358,9,0,Electronic,2018-06-27
shien_little_stone,628387,25,3,2,Pop,2020-11-20
dishpresto,107089,78,2,0,Folk,2010-03-12
ghettochild,70637,407,5,0,Hip hop / Rap,2009-03-04
dpgc2008,36412,226,4,0,Jazz,2008-02-22
maryseethefuture,301742,106417,2136,36,Folk,2014-11-19
jcfc,104079,630,10,0,Classical,2010-02-07
onepercent,536966,1372,76,0,Hip hop / Rap,2017-10-30
CTLam331,670178,75,11,8,Singer / Songwriter,2022-01-17
strandedwhale,533756,1857,55,0,Folk,2017-10-18
djpoint,17936,801,7,0,Electronic,2007-04-24
ciggiex17,561540,62,5,0,Dance,2018-07-24
wangleewangleeno1,570793,11973,485,50,Rock,2018-12-20
chian0629,562251,3271,123,1,Alternative,2018-07-31
Babymusic,143956,79,1,0,Classical,2011-06-15
PinkNoise11,567059,61984,1942,25,Rock,2018-10-15
fluv,10451,176,2,0,Hip hop / Rap,2006-12-23
Lazymusic1011,651531,4167,197,46,Rock,2021-06-24
fran1024,59276,11942,125,4,World,2008-10-31
woodenglasses,244764,35578,888,22,Pop,2014-06-23
leegof,547494,1194,46,0,Pop,2018-01-29
Marstn,557525,7397,304,3,Singer / Songwriter,2018-06-04
vickeyjasimine,599898,13,1,0,Soundtrack / New age,2019-12-03
thisisyoyo,72757,23803,128,4,Folk,2009-03-26
xljlee,11331,859,13,0,Rock,2007-01-07
Amazingshan,159427,1595,18,0,Jazz,2012-01-10
LUNAofficial,676174,20,3,5,Rock,2022-03-10
Immanuel,543432,755,17,0,Electronic,2017-12-05
yanshousan_,578869,3474,83,3,Pop,2019-04-02
ripplesmusic,511552,1316,40,0,Singer / Songwriter,2017-08-07
smokingarea25,546995,5889,137,3,Rock,2018-01-22
mason13,10872,918,4,2,Hip hop / Rap,2006-12-31
ShawdowLight,621691,812,9,17,Rock,2020-08-27
Humanity_mirror,662820,69911,315,124,Alternative,2021-10-15
indieFAT,125842,2313,39,1,Folk,2010-10-18
UnfairPaiN,327514,119,3,0,Rock,2015-04-16
mymaytai,32784,122,6,0,Pop,2007-12-28
dakanow,559152,1938,43,0,Reggae / Funk,2018-06-27
aniefann,360509,3731,103,8,Singer / Songwriter,2015-12-02
whocares2016,569295,586461,11912,801,Alternative,2018-11-24
joyce_ch0627,627810,32770,1717,344,Pop,2020-11-13
Nizope,167989,52,3,0,Electronic,2012-05-12
republic,313080,13530,158,1,Alternative,2015-01-14
sabrinaband2019,607930,8531,270,65,Rock,2020-03-16
Havens,22288,2125,8,0,Rock,2007-07-10
joshboi0807,147332,313,5,0,Hip hop / Rap,2011-07-27
woguidehuoche,561670,381,10,0,Pop,2018-07-26
recall2020,620097,247160,5868,1295,Pop,2020-08-08
aaasi,294565,30245,732,10,Pop,2014-09-13
TNSO,369497,1489,42,0,Post rock,2016-05-23
a389962581,591029,178,6,2,Reggae / Funk,2019-08-10
ninemaps,167224,2416,37,1,Folk,2012-05-01
ivor27tw,27654,38,2,0,Classical,2007-10-12
cgsh97_monkey,661138,11907,204,59,Singer / Songwriter,2021-09-22
Jannnne824,613180,1321,33,6,Folk,2020-05-10
vivajonathan,138091,2080,17,1,Pop,2011-03-23
thisisyoyo,49638,16292,88,0,Folk,2008-07-21
VastHazy,557452,74801,2706,68,Rock,2018-06-02
VerityPower,409309,7880,286,8,Singer / Songwriter,2017-03-24
bryansoulmusic,488197,21939,765,5,R&B / Soul,2017-06-01
JIMMY19830622,14981,524,9,3,Hip hop / Rap,2007-03-07
heatmark,613245,4655,252,2,Rock,2020-05-11
skippylu,622438,226654,5818,1129,Pop,2020-09-04
ColdColdRoad,373726,9230,262,26,Rock,2016-08-10
