dungyangyijianmei,569850,1233,56,1,Electronic,2018-12-03
PinkNoise11,567063,8315,281,8,Rock,2018-10-15
juzzyorange,344001,3250,102,1,Hip hop / Rap,2015-07-25
kolaswu,579751,2182,72,1,World,2019-04-14
violetlens,368416,6128,209,10,Alternative,2016-04-27
flykite2017,488997,8048,652,4,Singer / Songwriter,2017-06-03
OLDBOX,88907,8546,10,1,R&B / Soul,2009-08-21
treeoflifeband,600364,34864,941,19,Pop,2019-12-09
frank_chen88688,570199,849,23,0,Hip hop / Rap,2018-12-09
havesense123,208489,82155,1830,12,Folk,2014-03-02
ningyang,106202,182,2,0,Classical,2010-03-02
yoricky,603596,1,1,0,Hip hop / Rap,2020-01-23
OurEyes,131111,37,9,0,World,2010-12-22
blez,553333,16,1,0,Electronic,2018-04-07
Cicadatw,552872,6579,64,2,Classical,2018-04-01
newswimmer251,601337,1586,49,1,Hip hop / Rap,2019-12-22
Yiijiajia,476317,2694,64,0,Singer / Songwriter,2017-04-26
ggteens_,679741,3231,188,34,Pop,2022-04-02
lukechan168,546623,95093,3190,282,Rock,2018-01-15
heiwuyuedui,580493,2112,97,5,Rock,2019-04-25
aaasi,203851,124051,3403,47,Pop,2013-12-13
t29612003,351243,1854,77,3,Alternative,2015-09-24
peaceandwave,528121,3010,87,4,R&B / Soul,2017-09-22
rhapsody317,136855,675,6,0,Classical,2011-03-08
fromhush,123708,67527,1323,24,Folk,2010-09-24
culaliya,104007,4151,3,1,Pop,2010-02-06
kay159321,146525,1812,7,0,Classical,2011-07-16
za_sh,170428,3207,53,2,Pop,2012-06-13
FoolAndIdiotBand,499257,705124,31446,312,Alternative,2017-07-03
elevenzmusic,373376,25360,711,12,Pop,2016-08-03
mchanofficial,542910,3180,93,2,Pop,2017-11-28
mustbeniceband,589805,1163,54,1,Pop,2019-07-31
yawaimawlin,554282,11189,343,9,Pop,2018-04-16
youth_of_the_sea_island,633756,9313,147,31,Pop,2021-01-23
afuuuuuuuu,607580,70606,2289,14,Pop,2020-03-12
utopia0224,218894,4156,60,0,Electronic,2014-05-18
ChiYangAlnus,601681,518,32,1,Rock,2019-12-26
exit,331755,7254,184,0,Reggae / Funk,2015-05-19
B1band,573069,1641,57,4,Singer / Songwriter,2019-01-24
aplace2009,90393,3110,22,7,Rock,2009-09-03
tan8810205,20723,73,2,0,Rock,2007-06-12
d3bbi3,657367,89,10,5,Alternative,2021-08-14
highcc,625867,2422,79,16,Pop,2020-10-16
TwoPlusOne,189342,5558,74,0,Pop,2013-04-03
