音樂人 ID,音樂數,粉絲人數,追蹤中人數,身分(音樂人/認證音樂人),居住地,type
FTSMUSIC,8,45,0,音樂人,江西,2
sweetsleep,16,427,1,認證音樂人,臺北市,2
burningbeak,11,393,0,認證音樂人,臺中市,2
TheTalker,13,626,4,音樂人,臺北市,2
revaop,1,24,15,音樂人,臺北市,2
Onstudio,41,9336,30,音樂人,臺北市,2
faye_official,24,2370,5,認證音樂人,臺北市,2
lalluvial,30,397,57,音樂人,臺北市,2
obiwan1103,32,4363,0,認證音樂人,桃園市,2
hsiangyukao,19,353,107,認證音樂人,臺北市,2
Treeneighbor,3,21,2,音樂人,臺北市,2
FAMO,1,96,1,音樂人,臺北市,2
mooninahuang,11,337,350,認證音樂人,宜蘭縣,2
Micolna,1,20,1,音樂人,宜蘭縣,2
AlfaGallagher,1,666,3,音樂人,新北市,2
tarzan0207,1,63,4,音樂人,臺北市,2
heartones,113,1106,47,認證音樂人,臺北市,2
kalabebe,4,370,118,認證音樂人,新北市,2
Sonia_Calico,28,719,3,音樂人,臺北市,2
katsujilo,12,732,0,音樂人,None,2
johnnnnnn,22,1782,49,認證音樂人,新北市,2
Jakelin33,4,24,17,音樂人,桃園市,2
hanating_dd,1,75,41,音樂人,基隆市,2
babelrecords,60,633,5,音樂人,北京,2
etmusic,18,161,0,音樂人,臺南市,2
Zowie217,5,149,2,音樂人,臺北市,2
Claydermentis,7,103,3,音樂人,新北市,2
hilloper,4,28,173,音樂人,臺北市,2
konwang3,19,8738,49,認證音樂人,新北市,2
flippedinlove,17,385,0,音樂人,其他,2
wangshun2086,59,992,19,認證音樂人,新北市,2
hsinchen0002,16,47,1,音樂人,臺北市,2
fever86520,4,970,24,認證音樂人,新北市,2
ninjachun,45,152,0,音樂人,其他,2
itisIsey,22,746,14,認證音樂人,臺北市,2
TK_supremacy,5,139,5,認證音樂人,臺南市,2
neonerostw,6,1618,40,認證音樂人,臺北市,2
ella26980403,1,1,0,音樂人,桃園市,2
chickenchicks,12,1488,7,認證音樂人,臺北市,2
jing77697,13,756,81,音樂人,新北市,2
oscar99918,1,4,0,音樂人,高雄市,2
Balious,55,634,41,認證音樂人,屏東縣,2
kingdomofrain,35,1564,3,認證音樂人,臺北市,2
liucanned,104,206,389,認證音樂人,新北市,2
darkparadise,19,580,8,音樂人,新北市,2
dadenglu,43,557,0,音樂人,北京,2
wavesdoppler,28,477,19,音樂人,臺北市,2
chenghantw,12,207,0,認證音樂人,臺北市,2
Bayes,3,27,18,音樂人,臺北市,2
yutinhuang,9,196,23,認證音樂人,臺北市,2
dqdq212,24,2185,23,認證音樂人,桃園市,2
AngelHeartBand,5,118,0,音樂人,高雄市,2
TRIODUST,132,1200,31,音樂人,臺北市,2
styoung,5,55,13,音樂人,臺北市,2
Locu5,7,101,0,音樂人,臺北市,2
RATA,9,40,13,音樂人,花蓮縣,2
crybabymush,3,4,1,音樂人,高雄市,2
junepan,15,3504,0,認證音樂人,臺北市,2
dungisapor,8,41,8,音樂人,花蓮縣,2
dAAAb,1,10,0,音樂人,臺北市,2
dusanaga,35,563,0,音樂人,新北市,2
jillstark,27,215,37,認證音樂人,臺中市,2
vegatablecookies,79,342,57,音樂人,高雄市,2
Frande,18,8867,0,音樂人,None,2
aprilred,20,282,10,音樂人,臺北市,2
itsbobo,1,23,3,音樂人,新北市,2
cheir_yun,8,9,0,音樂人,臺北市,2
Tasty,86,598,6,音樂人,臺中市,2
4instasia,4,217,11,認證音樂人,連江縣,2
floatrist,3,44,6,音樂人,臺北市,2
ytheoryart,12,37,31,音樂人,臺北市,2
yuweiwenband,47,260,6,音樂人,四川,2
trezo2017,5,196,5,音樂人,臺北市,2
banyangang,59,3918,16,音樂人,臺南市,2
AnnieTaco,34,577,24,音樂人,臺中市,2
MongTongBand,39,643,6,認證音樂人,臺北市,2
kai_xuan_159,9,219,0,音樂人,河南,2
AKNIT,17,396,16,音樂人,臺北市,2
KOzZY,6,40,15,音樂人,臺中市,2
BeatmakersTaipei,59,1784,0,認證音樂人,臺北市,2
3r2music,9,357,4,音樂人,臺北市,2
turtleknights,4,1705,5,音樂人,None,2
ulttmu,23,210,10,認證音樂人,臺北市,2
chenx3,16,159,0,音樂人,浙江,2
thewhiteeyes,19,768,39,音樂人,臺北市,2
a2745858,4,204,1,認證音樂人,基隆市,2
gaojiafeng,16,1077,4,音樂人,上海,2
irenexia,34,1470,0,認證音樂人,臺中市,2
Hungyulin,23,2863,11,認證音樂人,新北市,2
OldSlutDistortion,17,8984,16,認證音樂人,臺中市,2
chilladan,31,2866,6,認證音樂人,臺東縣,2
MidisWonderland,24,755,29,認證音樂人,臺北市,2
PhilipYoung,18,1492,1,音樂人,北京,2
softlipa,34,37872,143,音樂人,臺北市,2
doojay98,10,1453,30,音樂人,馬來西亞,2
ruby200457630,8,106,12,認證音樂人,新竹市,2
spaceoddity2021,2,14,2,音樂人,臺北市,2
sleepingbrain,12,1026,31,認證音樂人,臺北市,2
51weeeeeeeeee,44,376,98,認證音樂人,新北市,2
Icyballband,16,4278,0,音樂人,臺北市,2
BURNIE,28,138,8,音樂人,澳門,2
laytonwoohbill,18,4413,18,音樂人,臺北市,2
ISQ4,10,294,0,音樂人,None,3
Five_Flavours_Band,12,84,2,音樂人,浙江,3
Julia_Wu,16,18974,0,音樂人,臺北市,3
Kocheng04,2,74,5,音樂人,高雄市,3
tim99640996,2,78,2,音樂人,臺南市,3
goodhoodbnd,9,927,38,音樂人,臺北市,3
danniyeats,7,1162,3,音樂人,北京,3
thespacecakeband,7,2018,0,音樂人,臺北市,3
Fe_N,1,10,2,音樂人,屏東縣,3
Negusante,2,115,0,音樂人,桃園市,3
goldfishbrain,5,222,1,音樂人,臺北市,3
yentinglo,7,194,1,認證音樂人,歐洲,3
A_SHENG_,2,11,5,音樂人,屏東縣,3
zaq1234_12367,5,137,30,音樂人,高雄市,3
itsyourfault,17,7133,1,認證音樂人,臺北市,3
lightengine,16,1276,6,音樂人,臺北市,3
square_moon_6nf,10,121,1,認證音樂人,澎湖縣,3
doojay98,10,1453,30,音樂人,馬來西亞,3
JEZhang,15,109,1,音樂人,廣東,3
3llerymusic,4,98,0,音樂人,其他,3
LexieLiu,14,8770,0,音樂人,北京,3
han_lin_li,13,144,7,音樂人,臺中市,3
janeeyrerose,11,110,1,音樂人,臺北市,3
vincent515,1,47,49,音樂人,桃園市,3
Ja2onRiv3rs,4,25,3,音樂人,臺中市,3
y310,19,9525,0,認證音樂人,臺北市,3
123lidingding,8,79,1,音樂人,北京,3
StevenYW,27,727,12,認證音樂人,高雄市,3
eric198853,54,3612,12,認證音樂人,臺北市,3
jihumusic,49,615,8,音樂人,四川,3
Fade_to_Blue,6,256,4,音樂人,臺北市,3
anthonywen,28,123,69,認證音樂人,臺北市,3
konwang3,19,8743,49,認證音樂人,新北市,3
sunk1s,1,1118,1,音樂人,臺北市,3
mafana,14,848,7,認證音樂人,臺東縣,3
Xiuyu_studio,3,30,6,音樂人,桃園市,3
albert_cobe,5,108,12,認證音樂人,新北市,3
dena_chang,9,379,1,音樂人,臺北市,3
hu999123,22,867,24,音樂人,桃園市,3
ohmymeiting,27,3144,15,音樂人,新加坡,3
tryangle,4,295,1,音樂人,臺北市,3
willy0430,2,306,7,認證音樂人,新北市,3
YunlinKendricklamar,3,26,5,音樂人,雲林縣,3
Jinboismyname,24,1048,4,認證音樂人,臺北市,3
ArthurShun2018,3,140,2,音樂人,臺北市,3
madeinbackstation,5,5179,6,認證音樂人,桃園市,3
koff,12,60,0,音樂人,臺北市,3
Larksfaith,7,107,0,音樂人,桃園市,3
see_u_hong,9,2973,0,認證音樂人,臺北市,3
nightkeepers2015,21,15241,10,認證音樂人,臺北市,3
Fomchor97,36,45,1,音樂人,上海,3
dachen223,23,5437,17,認證音樂人,屏東縣,3
catsonslide2019,15,395,8,音樂人,新北市,3
ezshen,32,1211,20,認證音樂人,臺北市,3
alanchou12345,8,4540,5,音樂人,新北市,3
chilladan,31,2867,6,認證音樂人,臺東縣,3
David_0912,2,24,37,音樂人,桃園市,3
Onstudio,41,9337,31,音樂人,臺北市,3
Hungyulin,23,2863,11,認證音樂人,新北市,3
mezzo249,1,46,1,音樂人,新北市,3
hanstsai,1,67,9,音樂人,臺北市,3
Fourmula_band,6,347,0,認證音樂人,臺北市,3
lilakin,19,682,0,音樂人,新疆,3
HYX1113,1,258,3,認證音樂人,新北市,3
yuhansu,1,40,0,音樂人,苗栗縣,3
baifiasili,5,153,36,音樂人,基隆市,3
thegirlsony,6,3903,1,音樂人,臺北市,3
Bestards,21,45189,43,認證音樂人,臺北市,3
tang0316,2,678,1,認證音樂人,新北市,3
BLUERINGLAMB,11,22,108,音樂人,新北市,3
thisishuer,7,97,13,音樂人,臺北市,3
xicotsai,8,270,18,音樂人,臺北市,3
blackred,8,22,0,音樂人,福建,3
wayneband2019,5,963,0,音樂人,臺北市,3
ourshame92,13,7656,38,認證音樂人,臺北市,3
TheGirlTheRobots,33,2420,18,音樂人,臺北市,3
Mo1028,10,35,5,音樂人,彰化縣,3
tinsrobinson,2,142,20,音樂人,臺北市,3
eveyichenmusic,16,367,0,認證音樂人,新北市,3
zllly,3,85,1,音樂人,彰化縣,3
becoolman,27,113,9,音樂人,桃園市,3
99Vintage,3,39,2,音樂人,臺北市,3
sexonthebeat_hk,2,26,2,音樂人,香港,3
applecat0228,3,42,0,音樂人,臺北市,3
Channel7band,5,572,12,音樂人,臺北市,3
masterbating6969,10,135,1,音樂人,臺中市,3
bibbyhh,1,76,4,音樂人,臺東縣,3
HsiaoLin,1,125,14,音樂人,新北市,3
wweibird,95,9631,15,音樂人,None,3
itskarencici,2,2239,0,音樂人,美國,3
Syofang,2,61,0,音樂人,None,3
9m88baba,4,19831,17,認證音樂人,基隆市,3
sean842850,6,5082,17,認證音樂人,臺北市,3
pezen,13,243,135,認證音樂人,臺北市,3
haowei_arno,3,354,14,認證音樂人,臺北市,3
lingyuankeng,1,172,0,認證音樂人,臺北市,3
rene_superawesome,2,206,0,音樂人,臺北市,3
zack_lee,2,17,7,音樂人,高雄市,3
lil_du,3,14,34,音樂人,臺北市,3
earthdayoff,8,541,6,音樂人,臺北市,3
8bkuo,1,155,8,音樂人,新北市,3
changriki,22,155,101,認證音樂人,新北市,3
NOband,17,852,15,音樂人,None,3
Leshia0428,18,433,13,認證音樂人,臺北市,3
Ariana1115,1,15,2,音樂人,花蓮縣,3
sweetjohnband,20,33845,12,認證音樂人,臺北市,3
yufuchenmusic,17,1442,0,音樂人,桃園市,3
Niki_notnikii,3,67,4,音樂人,臺北市,3
7uly,5,291,7,音樂人,新竹縣,3
Iron_Punch_band,16,4541,11,認證音樂人,臺南市,3
nakita81814,4,77,9,音樂人,新北市,3
Adam_1213,12,328,29,認證音樂人,新北市,3
zcrighthere,29,1194,15,音樂人,上海,3
thepurevocal66,7,89,5,音樂人,高雄市,3
cosmosjade,11,6177,7,音樂人,臺北市,3
dutchitrap,6,50,0,音樂人,臺北市,3
chenxen,1,30,6,音樂人,桃園市,3
whytetete,7,19650,5,認證音樂人,臺北市,3
wearenuts20201118,5,360,3,音樂人,新北市,3
s28765921,9,594,0,認證音樂人,臺南市,3
lanting,18,1917,0,認證音樂人,臺北市,3
bambii_annz,9,239,5,認證音樂人,臺北市,3
Yoannasun,3,429,0,音樂人,其他,3
laytonwoohbill,18,4413,18,音樂人,臺北市,3
cornyjw,1,6,5,音樂人,臺北市,3
L8ching,5,1708,0,認證音樂人,臺北市,3
piaxstudio,99,7994,7,認證音樂人,臺北市,3
colbieong,7,272,1,音樂人,馬來西亞,3
yingdaguagua,11,310,5,認證音樂人,臺北市,3
LeeSunWang,8,1320,1,音樂人,臺北市,3
AlphaChild1,1,155,0,音樂人,臺北市,3
Xinef_Evans,5,39,5,音樂人,臺南市,3
imtyping_,1,265,7,認證音樂人,臺北市,3
dannyhungssss,4,40,9,音樂人,臺北市,3
PuFFcorn,25,462,5,認證音樂人,新北市,3
ZING_officiall,6,900,2,認證音樂人,臺北市,3
genneo,17,522,1,音樂人,新加坡,3
lekimberleyy,4,834,4,音樂人,臺北市,3
MilkWhite,43,2538,7,音樂人,臺北市,3
harry08jo4pie,6,99,0,音樂人,新竹市,3
danhsueh,8,1027,9,認證音樂人,臺北市,3
greeeeeeen,33,1512,9,認證音樂人,臺北市,3
xiahoxiaho,1,279,12,認證音樂人,臺北市,3
Sophysophyw,21,765,14,音樂人,香港,3
d1205x,23,53,3,音樂人,臺中市,3
tyntseng,7,97,44,音樂人,臺北市,3
LEYUNHSU,1,22,3,音樂人,桃園市,3
franklintelescope,13,118,0,音樂人,香港,3
Soulfomusic,5,25,1,音樂人,臺北市,3
Thehopend,37,7493,2,認證音樂人,屏東縣,3
jien00008,26,2457,25,音樂人,新北市,3
urbancat,9,543,6,音樂人,臺北市,3
addabandtw,5,130,0,認證音樂人,臺北市,3
hsichy,2,282,0,音樂人,臺北市,3
anthony0926handsome,21,4357,3,認證音樂人,臺北市,3
Kminddddd,2,163,4,音樂人,香港,3
blu_colh,3,57,5,音樂人,臺北市,3
MidisWonderland,24,755,29,認證音樂人,臺北市,3
Abus18,9,331,13,認證音樂人,臺北市,3
mu_nest,62,891,77,認證音樂人,馬來西亞,3
michael0228,8,173,11,音樂人,臺中市,3
mxxdlife,17,2880,0,認證音樂人,新北市,3
guanhau,5,115,9,音樂人,新北市,3
ElinLeePN,10,100,0,音樂人,基隆市,3
Sophiehu,4,429,17,音樂人,臺北市,3
redhung_10,10,1335,2,認證音樂人,臺北市,3
darkparadise,19,580,8,音樂人,新北市,3
midnightx2222,6,915,77,認證音樂人,臺北市,3
Chill_Bros,9,519,3,音樂人,臺北市,3
chairchairmusic,30,9797,4,音樂人,臺中市,3
ninalu_1116,9,84,25,音樂人,臺北市,3
ruthmiaoru,8,149,5,音樂人,新加坡,3
Animalpartners,1,24,0,音樂人,其他,3
CuifengWizard54,6,221,28,認證音樂人,基隆市,3
blackie0713,11,651,8,認證音樂人,臺北市,3
zizimusic,2,78,0,音樂人,加拿大,3
tryingtimes,18,268,7,音樂人,新北市,3
bebolee,3,10,0,音樂人,加拿大,3
sugarcatband,5,4779,2,音樂人,新北市,3
gordon4x,15,3715,44,認證音樂人,香港,3
RobotSwing,5,432,1,認證音樂人,臺北市,3
cemelesaistudio,3,376,0,音樂人,臺東縣,3
bobistired,7,2951,44,認證音樂人,臺北市,3
viber2020,5,165,1,認證音樂人,臺北市,3
welchenmusic,46,32,0,音樂人,臺北市,3
Noborusan,17,120,22,音樂人,臺北市,3
_6vincent9_,3,89,0,音樂人,新北市,3
mibsBMty330,5,361,42,音樂人,桃園市,3
cityronin,10,8189,18,認證音樂人,其他,3
Ke2n1,8,27,0,音樂人,香港,3
ovdstw,33,920,37,認證音樂人,臺北市,3
TommyBlue,8,203,3,音樂人,臺北市,3
felixanshen,35,694,1,認證音樂人,臺北市,3
ucmusic,2,35,46,音樂人,基隆市,3
ten_yu,5,84,15,音樂人,臺北市,3
kellyrock3722,5,291,22,音樂人,臺中市,3
blowyourheart,10,755,5,Podcast,基隆市,3
s4203871017,9,669,12,認證音樂人,臺北市,3
finemusic,20,207,60,認證音樂人,美國,3
Haormusic,93,1035,15,音樂人,None,3
kacawswag,1,10,14,音樂人,新北市,3
wayne__dong,3,180,1,認證音樂人,桃園市,3
acidmarie,13,824,0,音樂人,臺北市,3
OSA,4,247,3,音樂人,加拿大,3
nauhuang,6,1109,8,認證音樂人,臺北市,3
haribozs,14,148,0,音樂人,上海,3
jackysu223,22,3823,53,音樂人,桃園市,3
johnnnnnn,22,1782,49,認證音樂人,新北市,3
wavegoat98,10,108,0,音樂人,臺北市,3
hankwuuu,3,234,1,音樂人,臺北市,3
ruby200457630,8,106,12,認證音樂人,新竹市,3
smy714,11,1759,2,認證音樂人,新北市,3
TysonYoshi,2,1317,0,音樂人,香港,3
chickenchicks,12,1488,7,認證音樂人,臺北市,3
mainlive1002,6,465,1,音樂人,新北市,3
yen1982,175,1283,69,認證音樂人,新北市,3
zenbothasizip,13,1142,33,認證音樂人,臺北市,3
OvertoneTW,36,636,280,認證音樂人,臺南市,3
look850802,5,1606,5,音樂人,臺北市,3
zornlu,37,162,15,認證音樂人,新北市,3
cholewis,29,34,1,音樂人,香港,3
fubarsound,5,24142,0,音樂人,臺北市,3
24prbl,18,569,18,認證音樂人,臺東縣,3
Jerry0426,5,34,1,音樂人,基隆市,3
junepan,15,3504,0,認證音樂人,臺北市,3
toufahutong,48,110,8,音樂人,北京,3
EdisonSong,15,2401,2,認證音樂人,臺北市,3
rubyfatale,22,2177,124,音樂人,臺北市,3
groovy__wave,4,60,0,音樂人,香港,3
ckjc15th,1,12,0,音樂人,臺北市,3
butf,4,39,8,音樂人,臺北市,3
BeatmakersTaipei,59,1784,0,認證音樂人,臺北市,3
wendydy95,2,71,9,音樂人,臺北市,3
yf____c,3,2574,23,認證音樂人,臺北市,3
Rock4ever,7,557,0,音樂人,臺北市,3
CathedralSanchez,4,23,0,音樂人,臺中市,3
tammyvoice,26,104,2,音樂人,新北市,3
hitdondon,16,2044,0,認證音樂人,高雄市,3
Dean829,8,912,15,認證音樂人,花蓮縣,3
88risingRecordsLLC,28,8491,0,音樂人,美國,3
JamLi,19,23,1,音樂人,上海,3
lautongut,1,31,2,音樂人,新北市,3
dadenglu,43,557,0,音樂人,北京,3
linion_linion,14,7261,10,認證音樂人,新北市,3
thecrane,7,3605,9,認證音樂人,臺北市,3
qlaryee,2,295,8,音樂人,臺北市,3
tainaner,3,88,0,音樂人,臺北市,3
sasa0720h,11,1630,12,認證音樂人,桃園市,3
Conehead,51,734,157,音樂人,基隆市,3
ET_Tseng,1,17,41,音樂人,臺北市,3
Honwei,1,37,4,音樂人,南投縣,3
anewanew2019,13,172,3,認證音樂人,臺北市,3
Norton_Street,5,406,0,認證音樂人,臺北市,3
tomiichanmusic,26,364,8,音樂人,香港,3
somemusic,4,78,0,音樂人,None,3
adrian90823,3,223,3,認證音樂人,臺北市,3
andung1220,17,11415,2,音樂人,臺東縣,3
hbdbilly,10,436,0,音樂人,新北市,3
spiritlab2020,6,72,18,音樂人,新北市,3
chengbone,6,23,27,音樂人,臺南市,3
thisisSYA,16,476,26,認證音樂人,臺北市,3
sherryccexon,22,316,15,認證音樂人,臺北市,3
aun04178ofe,13,9558,14,音樂人,臺北市,3
Caramelsauce_,2,22,2,音樂人,高雄市,3
ozioffcl,11,17845,2,音樂人,臺北市,3
cbn6rbp,16,96,42,音樂人,桃園市,3
Gweilee,4,275,38,認證音樂人,臺北市,3
jamesli123,1,46,0,音樂人,北京,3
angry_youth,23,5343,0,音樂人,臺北市,3
ChuNoodleChuNoodle,11,723,46,認證音樂人,新北市,3
YaoaY,7,59,0,音樂人,高雄市,3
Kevinchen408,11,117,21,認證音樂人,臺北市,3
JimmyStan,2,62,6,音樂人,桃園市,3
hengJoneshunnid,17,495,14,認證音樂人,花蓮縣,3
Lil_Shuan,9,14,16,音樂人,臺北市,3
Soulgroover,3,731,33,音樂人,None,3
Muniyu,10,141,1,音樂人,新北市,3
jw612,7,46,4,音樂人,臺北市,3
