oldgame,140135,12,1,0,Classical,2011-04-21
TwistedDonutMonsters,370984,2809,73,5,Metal,2016-06-20
Cliff949,577076,3740,154,15,Singer / Songwriter,2019-03-17
liliumtaiwan,593898,4001,141,19,Alternative,2019-09-06
mcdavi,125105,62378,354,10,Hip hop / Rap,2010-10-10
hang_honey,470226,1423,29,0,Rock,2017-04-10
theforest,188025,6001,68,3,Folk,2013-03-13
fw7975,603352,992,58,21,Folk,2020-01-19
guinh,622813,676,27,13,Hip hop / Rap,2020-09-08
BeTrash,310039,97282,4011,86,Rock,2014-12-30
vivavvn,24406,324,3,0,World,2007-08-19
yoyo1998,641576,55,6,5,Dance,2021-04-05
floatpin6,192237,88678,1441,6,Folk,2013-05-24
fireex168,628890,30047,1172,130,Punk,2020-11-26
zycozycozyco,602151,3053,119,11,Folk,2019-12-31
ZZ23217742,595521,236,11,0,Hip hop / Rap,2019-10-03
Toriyama,113129,1113,5,0,World,2010-05-19
tccjeron,42450,1506,15,0,Hip hop / Rap,2008-05-10
fangdongdemao,552742,48691,1698,34,Folk,2018-03-30
TwistedDonutMonsters,593799,1796,70,2,Rock,2019-09-23
elisaflo,6006,105,3,0,Electronic,2006-09-13
orangegrass,161154,2890,42,3,Folk,2012-02-05
blacksweetchild,368609,1627,14,0,Pop,2016-05-02
bluetearsband,470807,5807,173,1,World,2017-04-11
UndecimberFin,590119,8093,304,33,Rock,2019-08-03
ian868219,616827,6861,310,39,Singer / Songwriter,2020-07-13
neosoul6666,599010,516,26,0,Hip hop / Rap,2019-11-22
bluechicks,615347,157459,3291,87,Alternative,2020-06-06
MateLin,187395,2582,22,0,Electronic,2013-03-02
ZhiyuXia,561533,1164,47,0,Hip hop / Rap,2018-07-24
blue_sound_yi,390733,5221,203,0,Rock,2017-01-06
takvivian,1013,465,20,0,Pop,2006-04-12
Bazy_WestCoast,642678,48,5,2,Hip hop / Rap,2021-04-12
apu_song,636316,79951,2628,450,Singer / Songwriter,2021-02-23
collage7275,609546,351253,8887,1220,Alternative,2020-03-27
Raw_victa,651186,80,7,1,Hip hop / Rap,2021-06-20
caramelplease,187627,3923,68,2,Post rock,2013-03-06
MIMwatercity,571343,18908,568,73,Post rock,2018-12-27
formosa,27479,10317,72,4,Hip hop / Rap,2007-10-08
aeonnight,163727,595,2,0,Soundtrack / New age,2012-03-12
mintgreenmill,549521,4189,119,5,Alternative,2018-03-01
Babymusic,136823,54,1,0,Soundtrack / New age,2011-03-08
potohardwarestore,636575,12733,772,217,Alternative,2021-02-27
caroline1018,140117,119,1,0,Jazz,2011-04-21
pickup,372368,3068,103,3,Rock,2016-07-21
dingdingshishi,168392,12615,75,0,Folk,2012-05-18
henry0123,39102,149,5,0,Hip hop / Rap,2008-03-27
dereklaicello,551504,10,1,0,Jazz,2018-03-22
Walri,170078,1707,13,0,Rock,2012-06-09
wcindyu,62854,99,3,1,Soundtrack / New age,2008-12-06
shoes1020,204277,25530,222,1,Hip hop / Rap,2013-12-21
glide,105468,44,1,0,Classical,2010-02-22
imnotdorothy,508407,2299,62,0,Alternative,2017-07-30
SiriSimranKaur,607481,6888,231,2,Singer / Songwriter,2020-03-11
teppei9462,130413,142,5,0,Pop,2010-12-13
eunicepng,207514,788,28,1,ACG,2014-02-13
melet_fan,598724,1327,58,0,Pop,2019-11-18
WhatINeed,572480,196,17,0,Hip hop / Rap,2019-01-13
Cliff949,572289,7168,289,12,Singer / Songwriter,2019-01-10
johnsonliao,36791,532,30,0,Jazz,2008-02-28
whocares2016,613029,137794,2304,167,Alternative,2020-05-09
dsslio,665063,55,2,4,World,2021-11-12
eve90711,124642,11003,69,3,Pop,2010-10-05
air4378,164665,61,1,0,Rock,2012-03-26
LMmusic210,148280,392,5,1,World,2011-08-08
eturn,18556,5669,40,0,Hip hop / Rap,2007-05-04
Badsweetheart,637575,1876,116,23,Pop,2021-03-09
tdawg666,37136,378,6,0,Hip hop / Rap,2008-03-03
shen8668,146060,8937,32,7,Hip hop / Rap,2011-07-08
REDGORDON,43891,25405,177,10,Hip hop / Rap,2008-05-26
HaotingHuang,641631,7404,333,250,Singer / Songwriter,2021-04-05
flykite2015,335505,3191,53,1,Pop,2015-06-05
chung_yeezy,650548,158,5,16,Rock,2021-06-15
love02251998,582267,499,22,2,Hip hop / Rap,2019-05-17
greeneyesmusic,203450,42586,653,28,Alternative,2013-12-07
ydmpwosynb,196280,2025,42,0,Pop,2013-07-28
woguidehuoche,561678,2073,112,9,Pop,2018-07-26
BeTrash,507577,70698,2247,60,Rock,2017-07-28
shuresm58,119395,63,1,0,Hip hop / Rap,2010-08-02
juzzyorange,144633,11139,137,4,Hip hop / Rap,2011-06-22
oliviawang7777,650378,429,28,19,Singer / Songwriter,2021-06-14
pehthiha,626024,4916,140,14,Rock,2020-10-19
smokingarea25,472011,35112,1033,93,Rock,2017-04-14
SRollercoaster,556146,15981,524,12,Rock,2018-05-15
harpiccolo,121205,32,2,0,Soundtrack / New age,2010-08-23
mymaytai,33435,81,4,0,Pop,2008-01-08
0426__,649899,193,14,6,Singer / Songwriter,2021-06-10
escape_plan,196088,193851,4081,70,Rock,2013-07-25
HONJofficial,558779,205,11,0,Hip hop / Rap,2018-06-25
sujer,12728,1312,6,0,World,2007-01-28
Mugentheband,353571,2080,39,0,Pop,2015-10-14
gimmy27tw,83021,3456,23,2,Pop,2009-07-05
one3one4,635927,18060,341,54,Pop,2021-02-19
ISQ4,338856,2052,34,0,Jazz,2015-06-23
Naughtyband,602322,16170,580,197,Rock,2020-01-03
thisisyoyo,377539,92675,2907,84,Singer / Songwriter,2016-11-02
ke289676,660834,206,9,8,Pop,2021-09-18
Lexuan__,624603,691,33,4,Hip hop / Rap,2020-10-02
xxxchainx2,549976,49,2,0,Pop,2018-03-05
secretb8se,11445,1505,5,5,Hip hop / Rap,2007-01-10
tracychien,621509,246,14,9,Pop,2020-08-24
Agnesband,311036,1040,28,2,Pop,2015-01-05
Mirrors,546496,2890,55,0,Rock,2018-01-12
